ensgene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,test,chromosome_name,start_position,end_position,strand,gene_biotype,external_gene_name,description
ENSG00000006047,268.4900845,2.937988609,0.702420386,4.182664207,2.88E-05,0.001640565,TRUE,17,7288263,7294639,-1,protein_coding,YBX2,Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]
ENSG00000049089,331.8660461,1.800716359,0.573937552,3.137477855,0.001704081,0.029326402,TRUE,1,40300489,40317813,-1,protein_coding,COL9A2,collagen type IX alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2218]
ENSG00000050165,1604.780636,1.656010951,0.515335335,3.213462847,0.001311448,0.024589643,TRUE,11,11956207,12009769,-1,protein_coding,DKK3,dickkopf WNT signaling pathway inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:2893]
ENSG00000075073,19.65430131,2.722663947,0.712498825,3.821289036,1.33E-04,0.004895621,TRUE,10,69403903,69416918,-1,protein_coding,TACR2,tachykinin receptor 2 [Source:HGNC Symbol;Acc:HGNC:11527]
ENSG00000076864,272.8549448,1.746908435,0.594775862,2.937086972,0.003313112,0.045325149,TRUE,1,21596221,21669357,-1,protein_coding,RAP1GAP,RAP1 GTPase activating protein [Source:HGNC Symbol;Acc:HGNC:9858]
ENSG00000077935,247.6302418,2.360064734,0.747750632,3.156218977,0.001598288,0.028082565,TRUE,22,45344063,45413619,-1,protein_coding,SMC1B,structural maintenance of chromosomes 1B [Source:HGNC Symbol;Acc:HGNC:11112]
ENSG00000079435,161.9997897,1.390760897,0.392407126,3.544178497,3.94E-04,0.01089558,TRUE,19,42401514,42427388,-1,protein_coding,LIPE,"lipase E, hormone sensitive type [Source:HGNC Symbol;Acc:HGNC:6621]"
ENSG00000108786,81.00346141,-2.413566501,0.667441337,-3.616147768,2.99E-04,0.008984379,TRUE,17,42552922,42555214,1,protein_coding,HSD17B1,hydroxysteroid 17-beta dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:5210]
ENSG00000115718,15.08316488,2.365359775,0.725665838,3.259571627,0.001115806,0.021931028,TRUE,2,127418427,127429242,1,protein_coding,PROC,"protein C, inactivator of coagulation factors Va and VIIIa [Source:HGNC Symbol;Acc:HGNC:9451]"
ENSG00000128408,117.4809031,1.280034646,0.225662759,5.672334468,1.41E-08,4.59E-06,TRUE,22,45413693,45432509,1,protein_coding,RIBC2,RIB43A domain with coiled-coils 2 [Source:HGNC Symbol;Acc:HGNC:13241]
